winner,moves_count,game_duration,red_player,yellow_player,search_depth,nodes_explored,alpha_beta_cutoffs,evaluation_calls,max_depth_reached
RED,17,0.6835322380065918,Positional,Threat,3,1603,185,1182,3
RED,17,0.7629454135894775,Positional,Threat,3,1603,185,1182,3
RED,17,0.7785153388977051,Positional,Threat,3,1603,185,1182,3
RED,17,0.8082938194274902,Positional,Threat,3,1603,185,1182,3
RED,17,0.8809504508972168,Positional,Threat,3,1603,185,1182,3
EMPTY,42,1.343224048614502,Threat,Positional,3,2218,247,1535,3
EMPTY,42,1.3449492454528809,Threat,Positional,3,2218,247,1535,3
EMPTY,42,1.3511333465576172,Threat,Positional,3,2218,247,1535,3
EMPTY,42,1.3551788330078125,Threat,Positional,3,2218,247,1535,3
EMPTY,42,1.355696201324463,Threat,Positional,3,2218,247,1535,3
RED,7,2.57944393157959,Material,Positional,3,919,74,714,3
RED,7,2.582735538482666,Material,Threat,3,682,73,516,3
RED,7,2.541611909866333,Pattern,Positional,3,909,75,704,3
RED,7,2.6765546798706055,Material,Positional,3,919,74,714,3
RED,7,2.55739426612854,Pattern,Threat,3,694,71,522,3
RED,7,2.804178476333618,Material,Threat,3,682,73,516,3
RED,7,2.8057684898376465,Material,Positional,3,919,74,714,3
RED,7,2.814497947692871,Material,Positional,3,919,74,714,3
RED,7,2.829777479171753,Material,Positional,3,919,74,714,3
RED,7,2.721925735473633,Pattern,Threat,3,694,71,522,3
RED,7,2.93485689163208,Pattern,Positional,3,909,75,704,3
RED,7,3.0370373725891113,Pattern,Positional,3,909,75,704,3
RED,7,3.2101688385009766,Material,Threat,3,682,73,516,3
RED,7,3.313871145248413,Material,Threat,3,682,73,516,3
RED,7,3.3884778022766113,Pattern,Positional,3,909,75,704,3
RED,7,3.443221092224121,Pattern,Threat,3,694,71,522,3
RED,7,3.4705002307891846,Pattern,Threat,3,694,71,522,3
YELLOW,16,3.847106456756592,Threat,Material,3,1715,189,1270,3
RED,7,3.9751524925231934,Material,Pattern,3,818,84,619,3
RED,7,4.000882148742676,Material,Pattern,3,818,84,619,3
RED,7,4.0974438190460205,Material,Pattern,3,818,84,619,3
RED,7,3.9540631771087646,Pattern,Threat,3,694,71,522,3
RED,7,4.222916603088379,Material,Pattern,3,818,84,619,3
RED,7,4.202748537063599,Pattern,Positional,3,909,75,704,3
RED,7,4.338809490203857,Material,Pattern,3,818,84,619,3
RED,17,4.5859153270721436,Positional,Pattern,3,2139,197,1638,3
RED,17,4.601516485214233,Positional,Pattern,3,2139,197,1638,3
RED,7,4.706422567367554,Material,Threat,3,682,73,516,3
RED,17,4.751063346862793,Positional,Pattern,3,2139,197,1638,3
RED,17,4.7985570430755615,Positional,Pattern,3,2139,197,1638,3
RED,17,5.115341663360596,Positional,Pattern,3,2139,197,1638,3
YELLOW,16,5.310476541519165,Threat,Material,3,1715,189,1270,3
YELLOW,16,5.3351850509643555,Threat,Material,3,1715,189,1270,3
YELLOW,16,5.346949577331543,Threat,Material,3,1715,189,1270,3
YELLOW,16,5.458868026733398,Threat,Material,3,1715,189,1270,3
YELLOW,18,5.455420732498169,Threat,Pattern,3,1916,214,1404,3
RED,27,5.684387922286987,Positional,Material,3,2910,266,2209,3
RED,27,5.7589592933654785,Positional,Material,3,2910,266,2209,3
YELLOW,18,5.72597336769104,Threat,Pattern,3,1916,214,1404,3
RED,27,5.8204967975616455,Positional,Material,3,2910,266,2209,3
RED,27,5.9107983112335205,Positional,Material,3,2910,266,2209,3
RED,27,5.9123616218566895,Positional,Material,3,2910,266,2209,3
YELLOW,18,6.008715867996216,Threat,Pattern,3,1916,214,1404,3
YELLOW,18,6.1506736278533936,Threat,Pattern,3,1916,214,1404,3
YELLOW,18,6.153937578201294,Threat,Pattern,3,1916,214,1404,3
YELLOW,14,7.268350124359131,Pattern,Material,3,1538,155,1152,3
YELLOW,14,7.358297824859619,Pattern,Material,3,1538,155,1152,3
YELLOW,14,7.451855897903442,Pattern,Material,3,1538,155,1152,3
YELLOW,14,7.9287121295928955,Pattern,Material,3,1538,155,1152,3
YELLOW,14,8.097527742385864,Pattern,Material,3,1538,155,1152,3
RED,19,5.484331130981445,Positional,Threat,5,27530,3821,19516,5
RED,19,6.105296611785889,Positional,Threat,5,27530,3821,19516,5
RED,19,6.240084409713745,Positional,Threat,5,27530,3821,19516,5
RED,19,6.231828927993774,Positional,Threat,5,27530,3821,19516,5
RED,19,6.103699207305908,Positional,Threat,5,27530,3821,19516,5
